feature,importance
log_return_4h,0.13217793
momentum_1h,0.09338097
log_return_1h,0.048545275
momentum_4h,0.038059488
z_score_close_1h,0.036590084
bb_position_4h,0.035143506
bb_position_1h,0.029151127
volatility_1h,0.025194442
z_score_close_15m,0.024650035
eth_close,0.023345996
z_score_close_4h,0.023216348
bb_position_15m,0.021524617
eth_volatility,0.020231351
rsi_1h,0.019523624
btc_close,0.018955655
bb_upper_15m,0.018834097
eth_log_return,0.018731903
rsi_15m,0.017961884
btc_volatility,0.01699974
volatility_4h,0.016679203
eth_volume,0.016582046
momentum_15m,0.01641081
relative_strength_btc,0.016152313
bb_lower_4h,0.014107215
btc_volume,0.013105157
ma_volume_4h,0.013058032
rsi_4h,0.012824596
bb_lower_15m,0.012711797
atr_15m,0.012443758
vol_change_4h,0.012217222
ma_volume_1h,0.0119366255
volatility_15m,0.011675692
ma_close_15m,0.011595993
bb_upper_4h,0.011450202
z_score_volume_4h,0.010200734
atr_4h,0.009783117
beta_btc,0.009478956
ma_close_1h,0.009184056
bb_upper_1h,0.009094582
z_score_volume_1h,0.008828093
volatility_ratio_btc,0.00862921
btc_log_return,0.008230037
relative_strength_eth,0.00790721
volume_ratio_btc,0.007772471
ma_volume_15m,0.007470373
atr_1h,0.0074240444
bb_lower_1h,0.0064022522
ma_close_4h,0.0060350164
vol_change_1h,0.005814836
log_return_15m,0.0053387443
vol_change_15m,0.0036392228
z_score_volume_15m,0.0035983003
